size	tolerance_gr	es	ei
50-65	f7	-30	-60
50-65	g5	-10	-23
50-65	g6	-10	-29
50-65	g7	-10	-40
50-65	h4	0	-8
50-65	h5	0	-13
50-65	h6	0	-19
50-65	h7	0	-30
50-65	h8	0	-46
50-65	h9	0	-74
50-65	h10	0	-120
50-65	h11	0	-190
50-65	h12	0	-300
50-65	j5	6	-7
50-65	j6	12	-7
50-65	j7	18	-12
50-65	js5	6.5	-6.5
50-65	js6	9.5	-9.5
50-65	js7	15	-15
50-65	k5	15	2
50-65	k6	21	2
50-65	k7	32	2
50-65	m5	24	11
50-65	m6	30	11
50-65	m7	41	11
50-65	n5	33	20
50-65	n6	39	20
50-65	n7	50	20
50-65	p5	45	32
50-65	p6	51	32
50-65	r6	60	41
65-80	a12	-360	-660
65-80	d6	-100	-119
65-80	e6	-60	-79
65-80	e13	-60	-520
65-80	f5	-30	-43
65-80	f6	-30	-49
65-80	f7	-30	-60
65-80	g5	-10	-23
65-80	g6	-10	-29
65-80	g7	-10	-40
65-80	h4	0	-8
65-80	h5	0	-13
65-80	h6	0	-19
65-80	h7	0	-30
65-80	h8	0	-46
65-80	h9	0	-74
65-80	h10	0	-120
65-80	h11	0	-190
65-80	h12	0	-300
65-80	j5	6	-7
65-80	j6	12	-7
65-80	j7	18	-12
65-80	js5	6.5	-6.5
65-80	js6	9.5	-9.5
65-80	js7	15	-15
65-80	k5	15	2
65-80	k6	21	2
65-80	k7	32	2
65-80	m5	24	11
65-80	m6	30	11
65-80	m7	41	11
65-80	n5	33	20
65-80	n6	39	20
65-80	n7	50	20
65-80	p5	45	32
65-80	p6	51	32
65-80	r6	62	43
80-100	a12	-380	-730
80-100	d6	-120	-142
80-100	e6	-72	-94
80-100	e13	-72	-612
80-100	f5	-36	-51
80-100	f6	-36	-58
80-100	f7	-36	-71
80-100	g5	-12	-27
80-100	g6	-12	-34
80-100	g7	-12	-47
80-100	h4	0	-10
80-100	h5	0	-15
80-100	h6	0	-22
80-100	h7	0	-35
80-100	h8	0	-54
80-100	h9	0	-87
80-100	h10	0	-140
80-100	h11	0	-220
80-100	h12	0	-350
80-100	j5	6	-9
80-100	j6	13	-9
80-100	j7	20	-15
80-100	js5	7.5	-7.5
80-100	js6	11	-11
80-100	js7	17.5	-17.5
80-100	k5	18	3
80-100	k6	25	3
80-100	k7	38	3
80-100	m5	28	13
80-100	m6	35	13
80-100	m7	48	13
80-100	n5	38	23
80-100	n6	45	23
80-100	n7	58	23
80-100	p5	52	37
80-100	p6	59	37
80-100	r6	73	51
100-120	a12	-410	-760
100-120	d6	-120	-142
100-120	e6	-72	-94
100-120	e13	-72	-612
100-120	f5	-36	-51
100-120	f6	-36	-58
100-120	f7	-36	-71
100-120	g5	-12	-27
100-120	g6	-12	-34
100-120	g7	-12	-47
100-120	h4	0	-10
100-120	h5	0	-15
100-120	h6	0	-22
100-120	h7	0	-35
100-120	h8	0	-54
100-120	h9	0	-87
100-120	h10	0	-140
100-120	h11	0	-220
100-120	h12	0	-350
100-120	j5	6	-9
100-120	j6	13	-9
100-120	j7	20	-15
100-120	js5	7.5	-7.5
100-120	js6	11	-11
100-120	js7	17.5	-17.5
100-120	k5	18	3
100-120	k6	25	3
100-120	k7	38	3
100-120	m5	28	13
100-120	m6	35	13
100-120	m7	48	13
100-120	n5	38	23
100-120	n6	45	23
100-120	n7	58	23
100-120	p5	52	37
100-120	p6	59	37
100-120	r6	76	54
120-140	a12	-460	-860
120-140	d6	-145	-170
120-140	e6	-85	-110
120-140	e13	-85	-715
120-140	f5	-43	-61
120-140	f6	-43	-68
120-140	f7	-43	-83
120-140	g5	-14	-32
120-140	g6	-14	-39
120-140	g7	-14	-54
120-140	h4	0	-12
120-140	h5	0	-18
